Global ID,Use Case,Use Case ID,Coder1,Modifier1,Code1,Comment1,Time1,Coder2,Modifier2,Code2,Comment2,Time2,Concordance: Provenance Events identified (1st pass),Concordance: Regan Provenance Goals (1st pass),Used in concordance calculation: provenance + provenance tool use events (we do not consider trade-off tasks events),Resolved Modifier (2nd pass),Resolved Ragan Category (2nd pass),Resolved -new- Provenance Objects (2nd pass) ,"Opportunity, Tool/Unintended Use, Trade-off - FINAL CODE","Analytical_Provenance, Data_Provenance or Trade-off, Tool Use - FINAL CODE",Observed or Reported or Prompted or empty - (if it is Opportunity) - FINAL CODE,Resolved Ragan Category (or - if it is a task) - FINAL CODE,Tool or - if the tools are not used - FINAL CODE,Resoved Provenance Objects - FINAL CODE,Resoved Provenance Objects - further details for the objects FINAL CODE,Experiment Part - FINAL CODE
1,CS-eco,2,AB,Oportunity,Recall,"Recall DataProvenance - importance of Data Provenance. ""An important thing emerged, because those data come from different regions and each region corresponds to a particular animal typology (extensive sheeping in spain, or croplike system in germany)... and of course those typologies are very different.""",0:04:40,,,,,,0.5,0.5,Y,Opportunity,Recall,Data Provenance - origin of data,Opportunity,D_Provenance,-,Recall,,Data semantics & origin,,Reproduce Insight WoL
2,CS-eco,4,AB,"Reported, Trade-off?",Other Task,"Find clusters but looking wrt a specific key dimention (case study). when discussing past insight ""it was very visible to me the different clusters""",0:10:29,,,,,,,,N,Trade-off,,Clusters,Trade-off,Trade-off,,-,,"Find clusters, correlations & outliers",,Reproduce Insight WoL
3,CS-eco,9,AB,Oportuntiy,Recall,"Recall DataProvenance ""I just need to remember the indicators that we have"" ... ""the difference between the two is that ... is produced ... it's the production milk or meat"". (long event of retracing steps).",0:31:26,MC,Opportunity,Recall,"""I need to remember what parameters we have"" can be an opportunity for provenance of data",0:31:30,1,1,Y,Opportunity,Recall,Data Provenance - Semantics of dimensions,Opportunity,D_Provenance,-,Recall,,Data semantics & origin,Semantics of dimensions,Reproduce Insight WoL
4,CS-eco,11,AB,Oportuntiy,Recall,"(reconstructing from view what the dimensions mean), but also what values mean ""0 means they didn't answer""",0:34:23,,,,,,0.5,0.5,Y,Opportunity,Recall,Data Provenance - Semantics of a value,Opportunity,D_Provenance,-,Recall,,Data semantics & origin,Semantics of a value,Reproduce Insight WoL
5,CS-eco,12,,,,,,MC,Opportunity,Recall,"""what is this…."" seems like remembering the dimentions requires a non negligeable effort",0:34:47,0.5,0.5,Y,Opportunity,Recall,Data Provenance - Semantics of dimensions,Opportunity,D_Provenance,-,Recall,,Data semantics & origin,Semantics of dimensions,Reproduce Insight WoL
6,CS-eco,14,AB,Reported,Correlation,Really curious to see which indicators really respond to which case study,0:35:38,,,,,,,,N,Trade-off,,Correlation,Trade-off,Trade-off,,-,,"Find clusters, correlations & outliers",,Reproduce Insight WoL
7,CS-eco,15,AB,Oportuntiy,Other,Remind focus - important dimension. (Prompted) No particular order. For now I would keep an eye on case study and i would see how diff indicators relate to case study.,0:36:05,MC,"Opportunity, trade-off",,see how the dims relate to a certain dimensions,0:37:00,1,0,Y,Opportunity,Recall,Focus/priority : Level 2 : remind focus,Opportunity,A_Provenance,-,Recall,,Focus & priority,Level 2 : Remind focus,Reproduce Insight WoL
8,CS-eco,20,AB,Reported / Opportunity,Recall,There is 0 probability we will remember what we did last time...,0:40:50,,,,,,0.5,0.5,Y,Reported / Opportunity,Recall,"Temporal exploration structure : Level 2: steps 
",Opportunity,A_Provenance,-,Recall,,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WL
9,CS-eco,21,AB,Reported / Opportunity,Other - focus/priority,... The other responds he remembers this idea of how it depends on case study.,0:40:50,,,,,,0.5,0.5,Y,Reported / Opportunity,Recall,Focus/priority : Level 2 : Important dimension (Trade-off),Opportunity,A_Provenance,-,Recall,,Focus & priority,Level 2 : Important dimension (Trade-off),Reproduce Insight WL
10,CS-eco,24,AB,,Dim count,"(see next, promted to see if coherent to what they described before about recalling their past exploration)",0:51:28,,,,,,0.5,0.5,Y,Observed,Recall,"Dim count - why => Validation/verification 
",Tool Use,Tool Use,Prompted,Recall,Dim Count,Verification & validation,,Reproduce Insight WL
11,CS-eco,25,AB,Opportunity,"Other - Temporal exploration structure (phases, scenarios)","I am a bit surprised to see that it is very low [the dimension bar] about the case study maybe because this was an insight I had at the end of the session. ... """,0:51:28,,,,,,0.5,0.5,Y,Opportunity,Recall,"Temporal Exploration Structure : Level 1 : (phases, scenarios)",Opportunity,A_Provenance,-,Recall,,Exploration structure & steps,Level 2: phases / scenario,Reproduce Insight WL
12,CS-eco,26,AB,Opportunity,Recall,"(continues, code here for dimensions not remembered) ""I remember I explored all over the place [at the begining], but I don't remember exactly ... a lot of selection using dimensions diff than case study, i remember i did this a lot [but now what dimensions] ... I remember the case study at the end ... I forgot all the things that happened before""",0:51:50,,,,,,0.5,0.5,Y,Opportunity,Recall,Temporal Exploration Structure : Level 2 : (steps),Opportunity,A_Provenance,-,Recall,,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WL
13,CS-eco,27,AB,Opportunity,Replication,"(Prompted to remember where they made selections and what it is) ""No i don't remember, maybe i can find a dimension where there was a clear cluster ... "" then remembers they selected all cases of a case study ... Continues to describe strategy (go to case study, select Portugal)",0:53:59,MC,Opportunity,Recall,can't remember what the selection was (was able to guess),0:54:00,1,0,Y,Opportunity,Recall,Temporal exploration structure : Level 2: steps,Opportunity,A_Provenance,-,Recall,,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WL
14,CS-eco,28,,,,"(as above, does not remember the why, see code 29)",,,,,,,,,N-duplicate,Opportunity,Recall,Exploration structure : Mental model : strategy,Opportunity,A_Provenance,-,Meta-Analysis,,Exploration  approach,Missing Reasoning (why),Reproduce Insight WL
15,CS-eco,30,AB,Reported,Recall,"(Prompted if usefull) I kind of feel sometimes i explore data but it is very easy to forget what i do, i follow my intuition and explore but immediately after I forget WHY I was doing that.",0:55:21,MC,Reported Opportunity,Recall,"""it's very easy to forget the exploration""",0:55:44,1,1,Y,Reported Opportunity,Recall,Exploration structure : Mental model : strategy (what but also WHY),Opportunity,A_Provenance,-,Meta-Analysis,,Exploration  approach,Reflect Positive / Missing Reasoning (why),Reproduce Insight WL
16,CS-eco,31,AB,Reported,Other: Recall: navigation,... (continues) I remember very clearly about case study because in my mind I registered and I did further analysis... For the previous exploration I am sure I had criteria at the moment I was exploring but really don't remember what i was exploring. I think it is very nice to have sometthing to help me trace/navigate the past exploration.,0:56:20,MC,Reported Opportunity,Recall,"""i probably had some criteria in the last exploration but i cant remember""",0:56:20,1,1,Y,Reported,Recall,navigation (General),Opportunity-new,A_Provenance,Reported,Recall,,Focus & priority,Level 2 : Interesting view,Reproduce Insight WL
17,CS-eco,32,AB,Opportunity,Other: redo analysis? Refine?,"There are some things i do systematically to explore something, but in some other cases I explore following my intuition",0:57:00,,,,,,0.5,0.5,Y,Reported,Replication,Other: redo analysis? Refine? (part of Replication or Meta-Analysis),Opportunity-new,A_Provenance,Reported,Meta-Analysis,,Exploration  approach,Reflect Why,Reproduce Insight WL
18,CS-eco,34,,,,?? Keep track of number of overlapping of points??,,MC,,Discussion,some views are more easy to do selections / work with + some dimenssions are more important,0:58:30,0.5,0.5,Y,Opportunity,Recall,Interest criterion: Level 2: Size of trade off set,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 2: Size of trade off set,Reproduce Insight WL
19,CS-eco,35,AB,Reported,Other: Recall: Focus/Priority,"(Prompted about View Counts, most visited, to explain) - Anti-Focus/Importance ""I can guess why this was NOT very explored, it is very difficult, categorical variables so ... there are a lot of points overlapped, difficult to explore with a scatterplot""",0:59:34,,,,,,0.5,0.5,Y,Opportunity,Recall,Focus/priority: Level 2: (!!!!!) two dimensions COUNTER FOCUS (ie why NOT interesting),Opportunity,A_Provenance,-,Recall,,Focus & priority,Level 2 : Interesting view,Reproduce Insight WL
20,CS-eco,36,AB,,View count,(see next),1:01:02,,,,,,0.5,0.5,Y,Observed,Recall,View count - why => Focus/priority : Level 1 : one dimension / objective,Tool Use,Tool Use,Observed,Recall,View Count,Focus & priority,Level 1 : One dimension / objective,Reproduce Insight WL
21,CS-eco,37,AB,Reported,Other: Recall: Focus/Priority,"... for this one (other visited view) ... this is organic share, i think these are the indicators that speak more than others, I was more attracted by the organic share rather than organic and total. Rather this indicator includes this and this, so this indicator speaks more ... gives more information ...",1:01:02,,,,,,0.5,0.5,Y,Reported,Recall,"Focus/priority : Level 1 : one dimension / objective
",Opportunity-new,A_Provenance,Reported,Recall,,Focus & priority,Level 1 : One dimension / objective,Reproduce Insight WL
22,CS-eco,38,,,,-//-,1:01:02,,,,,,,,N-duplicate,Reported,Recall,Data Scemantics : combined dimensions,Opportunity-new,A_Provenance,Reported,Recall,,Data semantics & origin,Combined Dimensions,Reproduce Insight WL
