Quote_ID,Section in Paper (Results),Subsection,Case Study,Event_ID,Timestamp,Quote in French (empty if quote was originally in English),Quote in English (translated when French version exists)
1,5_2_tasks,5.2 Trade-off analysis tasks >> Minimize & maximize,CS-w,117,0:16:41,on avait minimisé le temps de fermentation je crois dans un dexieme jeu de critere,We had to minimize the fermentation time I believe in a second set of criteria
2,5_2_tasks,5.2 Trade-off analysis tasks >> Locate & characterize,CS-ml,86,0:53:30,,"Highlight it [a cluster of points having 2-16 features and few 100s samples …I want to see if they are distributed similarly or not, for example in the training and validation [dimensions]"
3,5_2_tasks,5.2 Trade-off analysis tasks >> Cascade & refine,CS-w,130-extended,00:30:14,"on était parti il me semble on avait presque une centaine de points, et on arrive a trois solutions gangnates","We started from, it seems, we had almost a hundred points, and we arrived at three winning solutions"
4,5_2_tasks,5.2 Trade-off analysis tasks >> Rank & prioritize,CS-ml,104,1:23:38,,"In this case we were more focused on looking at the predictions, so we have already statistics that are related to f1 [objective] and we selected the dimensions that we thought were closer to this f1 or people would expect that they are connected, but we kind of know that they are not"
5,5_2_tasks,5.2 Trade-off analysis tasks >> Create branches & compare alternatives,CS-ml,76,0:20:21,,"The first thing I would like to do is to repeat the analysis, or something similar to the analysis we did last time, but have a look at the different types of models [a newly added dimension]"
6,5_2_tasks,5.2 Trade-off analysis tasks >> Create branches & compare alternatives,CS-w,116,0:15:40,"En gros on a la même composition aromatique, avec des maux qui ont des teneurs en azote tres différentes, et ce qu’on avait regardé c’est que à priori , la gestion de la temperature doit être complètement différente, pour les points rouges et les points verts.","We have the same aromatic composition, with very different nitrogen values, and what we looked at is that a priori, the temperature management must be completely different between the red points [low nitrogen] and green points [high nitrogen]"
7,5_2_tasks,5.2 Trade-off analysis tasks >> Combine interest zones & dimensions,CS-w,114-extended,00:15:00,"On pourrait dire que c’est une recette de vert avec un tiers, un tiers, un tiers des 3 esters qui nous intéressent","This is a green recipe [green selection] with a proportion of one third one third one third, for the three esters that interest us"
8,5_2_tasks,5.2 Trade-off analysis tasks >> Observe coverage,CS-ml,67,0:10:50,,"During the first part of the exploration [session 1, no provenance support], I was not able to track which dimensions I analyzed"
9,5_2_tasks,"5.2 Trade-off analysis tasks >> Find clusters, correlations & outliers",CS-eco,31,1:26:07,,I would like to see organic share with regards to any indicator of production
10,5_3_tool_use,5.3.1 How provenance tools were utilised >> ViewCount,CS-ml,70-extended,00:15:41,,"A: Because for example this [SPLOM thumbnail], I ignored completely. Maybe, there is something amazing here [points to different part of SPLOM] and I have been ignoring it. B:Yeah but it's also a matter of priorities right? Maybe after you get all you can from these visualisations you might in the end go there [ViewCount] just to check"
